#{"t_start": 1770572360.01943, "env_id": "None"}
r,l,t
-169.75507,16,4.505387
-8.270249,1,4.513935
-33.85489,3,4.525582
-34.450928,3,4.53395
-8.983295,1,4.54369
-64.49269,6,4.552081
-31.767025,3,4.552097
-8.489502,1,4.560159
-47.055386,6,4.579748
-7.6924853,1,4.589998
-130.78705,13,4.598619
-13.417118,1,4.607707
-18.405651,2,4.607723
-120.323616,9,4.616376
-12.533838,1,4.616386
-31.312298,2,4.628692
-7.0829296,1,4.636732
-117.06568,12,4.645527
-6.7139792,1,4.645544
-11.290273,1,4.654735
-20.711527,2,4.663381
-72.0956,7,4.663392
-92.586845,7,4.672338
-8.33163,1,4.672347
-9.126217,1,4.680738
-23.202496,2,4.695143
-11.865847,1,4.704199
-97.31612,8,4.718415
-24.677336,3,4.718442
-16.895384,2,4.734249
-116.48145,11,4.746466
-21.698904,2,4.756776
-6.803479,1,4.764805
-230.5626,20,4.780423
-117.42572,11,4.780438
-7.411796,1,4.789367
-8.401277,1,4.789391
-83.38793,9,4.81006
-8.187341,1,4.818049
-8.764678,1,4.827413
-78.97138,7,4.835071
-167.29669,18,4.843729
-11.271647,1,4.843742
-10.667752,1,4.852297
-8.128795,1,4.860726
-146.29659,13,4.877107
-11.491522,1,4.885604
-12.986083,1,4.893564
-92.17319,8,4.901625
-75.07365,8,4.914675
-7.247101,1,4.92502
-8.92362,1,4.933
-76.194824,6,4.954768
-129.34435,12,4.962995
-8.402143,1,4.963009
-8.13726,1,4.970312
-6.502625,1,4.978836
-285.14587,24,4.986438
-147.64119,15,5.009781
-15.504382,1,5.00986
-7.8545847,1,5.022206
-58.791615,5,5.04229
-135.1543,10,5.050866
-128.94398,13,5.072305
-51.60195,6,5.072334
-61.786728,6,5.080998
-24.151184,2,5.089247
-141.6358,15,5.106424
-38.77123,3,5.106457
-48.43718,5,5.134415
-13.73792,1,5.154681
-130.81711,11,5.154748
-7.371463,1,5.166421
-109.39882,8,5.180132
-11.499391,1,5.180171
-9.812993,1,5.189042
-39.398537,3,5.189062
-8.020051,1,5.18907
-8.074708,1,5.197565
-7.6742296,1,5.206438
-19.16241,2,5.206457
-8.995507,1,5.215318
-21.621155,2,5.223981
-14.015361,1,5.232314
-62.199356,6,5.240336
-21.451683,1,5.248737
-48.82464,4,5.248757
-332.86374,25,5.272608
-42.948364,5,5.272633
-100.82065,7,5.27264
-56.347378,5,5.272645
-9.143796,1,5.281109
-42.306606,5,5.299491
-36.740395,4,5.318934
-13.494069,1,5.327422
-133.59576,13,5.34137
-176.11456,13,5.341398
-9.077387,1,5.350417
-74.43521,6,5.361796
-236.03473,20,5.383752
-72.5615,7,5.39503
-158.67307,11,5.403414
-9.240799,1,5.403435
-13.424364,1,5.411535
-19.835314,1,5.411552
-118.89602,12,5.420062
-41.446983,4,5.435504
-8.047984,1,5.445514
-96.796486,7,5.457544
-8.937508,1,5.46632
-69.26166,7,5.466336
-37.214077,4,5.475072
-8.071432,1,5.475086
-8.103886,1,5.484071
-163.7559,14,5.484082
-56.18429,5,5.50584
-14.54663,2,5.516862
-117.157684,11,5.533945
-8.200546,1,5.541482
-8.411004,1,5.548678
-16.326506,2,5.561106
-235.38824,20,5.578793
-305.06802,23,5.590173
-7.158943,1,5.597749
-222.82594,16,5.60606
-10.212154,1,5.606074
-9.543476,1,5.614297
-35.646313,3,5.625775
-185.79427,12,5.634711
-8.270684,1,5.634737
-14.997732,1,5.644054
-71.95328,7,5.659188
-7.995172,1,5.668032
-151.35313,13,5.668046
-25.759575,2,5.679124
-74.86385,7,5.686764
-23.336666,2,5.697556
-90.7271,8,5.71773
-171.47705,17,5.728951
-7.7057986,1,5.736739
-14.774248,1,5.745317
-22.968304,1,5.753488
-100.384674,11,5.761566
-12.629724,1,5.769337
-30.998993,3,5.778225
-241.10504,18,5.778236
-107.172485,9,5.786406
-8.512956,1,5.786419
-14.022572,1,5.786426
-12.261095,1,5.795087
-8.708894,1,5.803628
-11.875912,1,5.81167
-52.7481,4,5.819484
-139.68098,10,5.838667
-52.414463,6,5.847779
-9.071742,1,5.847814
-13.763284,1,5.858062
-70.49844,6,5.858095
-14.553838,2,5.869026
-33.067535,4,5.888823
-78.31636,7,5.888853
-214.51195,17,5.898097
-8.697247,1,5.89813
-13.298696,1,5.90873
-94.58473,9,5.917903
-22.038233,2,5.917928
-14.734218,1,5.925462
-50.376766,5,5.933495
-9.0303955,1,5.942656
-10.549602,1,5.950876
-99.64849,10,5.971171
-131.24847,11,5.983031
-75.87815,7,5.983056
-18.465021,2,5.994879
-15.560535,2,6.007249
-68.87151,6,6.007278
-9.98235,1,6.015948
-7.9488225,1,6.015969
-8.22311,1,6.02501
-226.52548,19,6.039919
-56.64098,4,6.048268
-121.70195,11,6.05638
-7.8834815,1,6.064386
-9.678796,1,6.074747
-92.379135,7,6.094806
-15.508636,1,6.105604
-152.72346,13,6.115247
-13.95198,1,6.115275
-8.044925,1,6.123954
-95.97179,9,6.12399
-8.28866,1,6.131665
-34.847286,3,6.1437
-84.024376,7,6.159167
-72.961815,6,6.167334
-8.413514,1,6.167353
-84.81979,9,6.189028
-232.63792,19,6.19882
-58.335278,6,6.198856
-16.2407,1,6.207798
-14.286885,1,6.207828
-26.305058,3,6.223464
-12.578405,1,6.232375
-144.58537,14,6.251809
-88.74764,9,6.251857
-108.04387,11,6.275165
-47.854683,5,6.283777
-8.282174,1,6.283801
-88.742226,8,6.283809
-8.553884,1,6.292246
-135.6338,12,6.317205
-78.16508,7,6.31724
-47.61116,6,6.317248
-12.277921,1,6.32502
-124.382675,9,6.333625
-26.603632,2,6.333656
-12.781355,1,6.341219
-25.97648,2,6.349744
-13.2631,1,6.349774
-7.852912,1,6.358955
-67.21465,6,6.370388
-73.203094,8,6.386928
-83.84361,8,6.408512
-147.82571,14,6.427322
-7.717076,1,6.436183
-166.95221,15,6.444269
-6.7328563,1,6.452966
-170.54524,13,6.461252
-18.29734,2,6.471021
-73.70214,8,6.489387
-7.450241,1,6.498585
-19.054281,2,6.510469
-117.109055,10,6.52598
-17.27771,1,6.534467
-245.70139,22,6.547105
-34.451904,3,6.56258
-6.901822,1,6.571075
-214.72397,19,6.580078
-10.616864,1,6.588817
-122.5301,12,6.588835
-36.51508,3,6.603617
-47.676563,6,6.612446
-157.60158,12,6.612467
-12.047479,1,6.621047
-21.312237,2,6.631474
-75.2844,7,6.647738
-9.072504,1,6.655599
-47.441113,4,6.655616
-95.485374,10,6.669628
-32.36963,3,6.669663
-57.628235,4,6.687853
-7.255943,1,6.696551
-227.36226,23,6.716018
-7.850952,1,6.724312
-91.90352,7,6.735622
-21.22967,1,6.744192
-14.29222,1,6.752844
-245.11743,20,6.767967
-123.76888,8,6.776259
-61.801323,5,6.799031
-108.737404,9,6.799058
-8.671126,1,6.807354
-72.73038,7,6.80737
-294.2535,25,6.815453
-13.255911,1,6.815466
-14.606546,1,6.823475
-58.17587,6,6.843463
-93.25976,8,6.851701
-102.889305,9,6.85172
-8.064259,1,6.859928
-7.23285,1,6.859951
-14.705688,1,6.86825
-8.785246,1,6.868268
-40.61396,4,6.877237
-7.984555,1,6.885915
-9.14883,1,6.894333
-119.923965,11,6.89435
-36.291004,4,6.903194
-66.18026,6,6.924676
-15.848078,1,6.932589
-112.68775,7,6.932605
-8.085013,1,6.941268
-12.177741,1,6.949373
-137.74132,13,6.957427
-12.257039,1,6.966109
-32.39945,3,6.974912
-118.24543,14,7.010176
-93.425026,10,7.01826
-7.747345,1,7.026075
-7.820899,1,7.035319
-8.732239,1,7.044393
-162.49493,14,7.044419
-9.227644,1,7.053208
-81.07482,7,7.06642
-280.65344,27,7.066436
-9.904597,1,7.075731
-43.187977,5,7.098192
-135.09305,10,7.105432
-38.118523,3,7.118465
-156.98018,13,7.126198
-7.6125703,1,7.134646
-61.791412,7,7.141938
-12.749508,1,7.149751
-175.42464,15,7.159695
-12.797212,1,7.159715
-7.653501,1,7.168125
-20.664618,2,7.175736
-79.72096,7,7.186092
-92.35159,9,7.186103
-54.711998,4,7.198881
-35.317932,3,7.207917
-42.923016,3,7.219349
-92.51597,8,7.233507
-171.01474,12,7.242974
-8.2517185,1,7.250251
-8.749934,1,7.258666
-113.18466,10,7.269807
-12.085484,1,7.277771
-8.723029,1,7.286497
-11.204831,1,7.294771
-11.214929,1,7.302768
-125.05815,11,7.313986
-35.84102,4,7.333033
-200.33128,14,7.345626
-20.190556,2,7.345645
-11.483852,1,7.353924
-13.117287,1,7.353936
-7.665589,1,7.362014
-8.25832,1,7.362039
-8.141376,1,7.370321
-274.18872,24,7.37912
-9.206032,1,7.379134
-11.718126,1,7.388121
-136.7844,13,7.388135
-12.3365345,1,7.396917
-9.422415,1,7.39693
-9.036705,1,7.405165
-33.12004,4,7.424721
-51.24488,5,7.424743
-11.302867,1,7.433075
-8.907844,1,7.433088
-90.47179,8,7.462273
-223.25464,16,7.462291
-20.357119,2,7.472291
-249.57695,20,7.472306
-11.654157,1,7.479732
-66.80787,6,7.495279
-178.69542,14,7.495299
-12.727815,1,7.503202
-25.768986,2,7.514476
-59.703804,4,7.522123
-43.712128,5,7.54319
-60.01927,6,7.54321
-7.748913,1,7.551501
-176.52496,14,7.559802
-7.177022,1,7.567197
-208.38278,17,7.576132
-8.826717,1,7.576149
-8.262294,1,7.585223
-81.20271,5,7.602011
-16.690332,1,7.610478
-115.43782,10,7.619178
-140.26804,12,7.627957
-10.029252,1,7.636534
-102.73912,10,7.648111
-45.109825,4,7.648126
-63.37961,7,7.659784
-52.14509,5,7.679454
-99.21524,10,7.687631
-131.3161,10,7.697432
-8.319815,1,7.704878
-14.717057,1,7.713035
-7.8523707,1,7.720838
-120.28272,13,7.720849
-168.98929,13,7.747333
-88.1408,7,7.747355
-12.095949,1,7.755
