#{"t_start": 1770572514.125886, "env_id": "None"}
r,l,t
-11.572586,1,0.543881
-11.395318,1,0.543917
-10.283344,1,0.554904
-34.679928,2,0.55493
-24.532259,2,0.554941
-8.726565,1,0.554948
-7.64149,1,0.564955
-110.55778,9,0.599558
-8.566504,1,0.608388
-188.14587,15,0.628853
-9.096964,1,0.637735
-194.20229,17,0.649931
-80.70033,8,0.649957
-12.715527,1,0.659113
-7.485466,1,0.659131
-8.204269,1,0.66786
-28.588156,2,0.676302
-7.6270247,1,0.685523
-70.717476,7,0.693885
-8.522268,1,0.6939
-9.566096,1,0.702842
-33.860325,3,0.718853
-309.5631,27,0.718891
-37.501434,4,0.718901
-13.488505,1,0.727276
-18.761772,2,0.739417
-105.66158,9,0.739439
-10.911185,1,0.747798
-59.156948,4,0.756255
-49.938423,4,0.772959
-103.76392,10,0.797713
-14.27892,1,0.805833
-114.75425,9,0.815239
-13.623361,1,0.815264
-169.42642,15,0.824453
-8.998961,1,0.83255
-52.411453,5,0.847408
-92.27569,9,0.865995
-13.708026,1,0.875039
-132.15399,10,0.887293
-8.185657,1,0.896974
-28.004492,3,0.897005
-340.3444,28,0.897013
-11.063288,1,0.905256
-101.92302,10,0.914309
-35.1547,3,0.926771
-41.559044,4,0.9268
-36.341652,4,0.926808
-9.688558,1,0.935085
-52.229404,5,0.953283
-7.632231,1,0.962141
-80.227135,6,0.962156
-8.170157,1,0.970902
-113.64433,10,0.979173
-27.666563,3,0.988503
-9.218462,1,0.988516
-8.7267885,1,0.99661
-161.80197,14,1.01906
-13.162544,1,1.027341
-89.17417,7,1.027358
-161.67905,13,1.043696
-9.068476,1,1.051526
-133.69563,12,1.059785
-8.775362,1,1.059799
-60.7873,7,1.067996
-8.267799,1,1.075967
-13.321117,1,1.084102
-32.36857,4,1.092413
-7.8595147,1,1.092424
-45.249794,4,1.092431
-9.331251,1,1.100547
-9.060642,1,1.10056
-96.66924,8,1.133172
-188.89381,19,1.133188
-7.634184,1,1.141394
-7.576004,1,1.141409
-43.818054,4,1.156991
-105.14781,13,1.157008
-12.377204,1,1.165551
-12.561701,1,1.174285
-196.58577,16,1.174301
-7.2461042,1,1.182298
-106.68507,10,1.197409
-60.945812,5,1.205927
-16.65943,1,1.21428
-15.496782,2,1.214292
-12.030102,1,1.22433
-7.4094577,1,1.224344
-54.498257,6,1.224351
-9.7120075,1,1.23392
-8.710969,1,1.233932
-131.04271,10,1.233938
-9.041582,1,1.233944
-13.750441,1,1.243146
-9.384557,1,1.243159
-8.804156,1,1.243164
-7.679454,1,1.252386
-13.041362,1,1.252394
-116.359985,13,1.293879
-175.87376,14,1.304569
-15.224182,2,1.304585
