#{"t_start": 1770573625.21714, "env_id": "None"}
r,l,t
-11.572586,1,0.508723
-11.395318,1,0.508767
-10.283344,1,0.520837
-34.679928,2,0.52086
-24.532259,2,0.52087
-8.726565,1,0.520878
-7.64149,1,0.533813
-110.55778,9,0.568273
-8.566504,1,0.577081
-188.14587,15,0.598177
-9.096964,1,0.606353
-194.20229,17,0.618192
-80.70033,8,0.61821
-12.715527,1,0.627675
-7.485466,1,0.627687
-8.204269,1,0.635618
-28.588156,2,0.646329
-7.6270247,1,0.655621
-70.717476,7,0.663148
-8.522268,1,0.663161
-9.566096,1,0.67087
-33.860325,3,0.687759
-309.5631,27,0.687776
-37.501434,4,0.687783
-13.488505,1,0.695695
-18.761772,2,0.703363
-105.66158,9,0.703374
-10.911185,1,0.712347
-59.156948,4,0.720505
-49.938423,4,0.736956
-103.76392,10,0.764825
-14.27892,1,0.773654
-114.75425,9,0.782516
-13.623361,1,0.782545
-169.42642,15,0.79119
-8.998961,1,0.798857
-52.411453,5,0.81369
-92.27569,9,0.829994
-13.708026,1,0.837826
-132.15399,10,0.851964
-8.185657,1,0.861149
-28.004492,3,0.861174
-340.3444,28,0.861183
-11.063288,1,0.876542
-101.92302,10,0.887285
-35.1547,3,0.90582
-41.559044,4,0.905855
-36.341652,4,0.905866
-9.688558,1,0.914483
-52.229404,5,0.932822
-7.632231,1,0.941503
-80.227135,6,0.941525
-8.170157,1,0.950031
-113.64433,10,0.957879
-27.666563,3,0.966852
-9.218462,1,0.966869
-8.7267885,1,0.974696
-161.80197,14,1.003151
-13.162544,1,1.013091
-89.17417,7,1.013118
-161.67905,13,1.030405
-9.068476,1,1.038126
-133.69563,12,1.04723
-8.775362,1,1.047244
-60.7873,7,1.055574
-8.267799,1,1.063566
-13.321117,1,1.071511
-32.36857,4,1.082141
-7.8595147,1,1.082152
-45.249794,4,1.082159
-9.331251,1,1.090581
-9.060642,1,1.090606
-96.66924,8,1.125724
-188.89381,19,1.12576
-7.634184,1,1.13405
-7.576004,1,1.13407
-43.818054,4,1.150479
-105.14781,13,1.150499
-12.377204,1,1.158931
-12.561701,1,1.167612
-196.58577,16,1.167625
-7.2461042,1,1.17569
-106.68507,10,1.190516
-60.945812,5,1.199444
-16.65943,1,1.208569
-15.496782,2,1.208598
-12.030102,1,1.218404
-7.4094577,1,1.218423
-54.498257,6,1.21843
-9.7120075,1,1.228107
-8.710969,1,1.22812
-131.04271,10,1.228127
-9.041582,1,1.228132
-13.750441,1,1.237265
-9.384557,1,1.237283
-8.804156,1,1.237289
-7.679454,1,1.246754
-13.041362,1,1.246768
-116.359985,13,1.288709
-175.87376,14,1.29929
-15.224182,2,1.299307
-13.447799,1,1.309233
-7.9190264,1,1.309253
-7.5398407,1,1.318046
-10.434785,1,1.326649
-241.506,17,1.326661
-19.615454,1,1.334214
-12.552096,1,1.334224
-13.145014,1,1.343527
-126.41673,10,1.376757
-412.04248,33,1.388772
-184.17787,17,1.407563
-56.515705,6,1.407602
-7.7433434,1,1.419666
-8.921427,1,1.419746
-45.322197,5,1.419767
-7.280505,1,1.430895
-14.024709,1,1.430936
-311.3158,26,1.451326
-17.02579,1,1.459935
-11.23224,1,1.468716
-68.221664,6,1.468731
-82.791306,7,1.477257
-11.5787945,1,1.477275
-8.314079,1,1.486146
-32.85893,3,1.494013
-21.859211,2,1.506135
-37.88096,3,1.506151
-7.8999233,1,1.515642
-165.08386,14,1.523809
-8.417806,1,1.533444
-45.560207,4,1.544703
-37.60776,3,1.553058
-56.885757,5,1.570973
-185.11098,15,1.578754
-62.35184,7,1.599929
-108.13515,11,1.599947
-191.59392,19,1.610954
-8.291351,1,1.618768
-136.46213,11,1.630738
-17.44498,2,1.642921
-99.32635,8,1.651536
-8.005749,1,1.659254
-140.13757,12,1.673377
-60.117424,4,1.68123
-51.6516,6,1.681248
-119.16496,11,1.689705
-13.65655,1,1.68972
-19.491846,2,1.700959
-8.144811,1,1.709798
-58.24505,4,1.718384
-13.604792,1,1.718393
-45.49423,5,1.739909
-152.5267,12,1.752017
-187.61113,16,1.765463
-139.66095,15,1.784165
-51.626854,5,1.784184
-7.6977253,1,1.791508
-9.714933,1,1.791522
-154.16728,14,1.80433
-97.020164,7,1.823607
-9.482306,1,1.831826
-237.57986,18,1.839709
-101.571175,9,1.839725
-10.303795,1,1.84817
-12.673999,1,1.848186
-115.28453,12,1.86981
-7.8484974,1,1.877286
-9.704339,1,1.886067
-112.53309,9,1.886082
-9.658985,1,1.894675
-8.599516,1,1.894692
-7.6103997,1,1.902612
-10.368646,1,1.910753
-8.106191,1,1.919833
-121.51466,12,1.927678
-148.3143,13,1.937626
-46.755157,4,1.956294
-13.572407,1,1.96478
-48.29181,5,1.983771
-178.84283,17,1.9942
-8.147776,1,2.001413
-201.03854,16,2.009362
-206.89212,18,2.024052
-48.24431,5,2.045625
-107.08574,9,2.045652
-29.719595,3,2.059238
-160.5079,15,2.076019
-243.0777,21,2.086738
-109.23892,11,2.098046
-80.582054,8,2.098061
-8.843419,1,2.106753
-70.142815,5,2.106764
-8.769722,1,2.115471
-10.4706135,1,2.123929
-12.148236,1,2.132203
-99.48425,8,2.144432
-87.551605,9,2.159299
-88.91197,9,2.168494
-11.682196,1,2.168509
-10.994794,1,2.176693
-8.17988,1,2.176705
-115.86438,9,2.187484
-121.916504,8,2.195084
-13.489248,1,2.203719
-44.81985,4,2.203732
-34.878624,4,2.20374
-9.516006,1,2.212543
-92.056496,8,2.241891
-107.388596,10,2.250163
-150.06616,14,2.266962
-189.29492,16,2.266981
-16.855366,1,2.275029
-9.322728,1,2.275041
-76.684616,7,2.284902
-109.87839,9,2.293915
-27.175568,1,2.293928
-19.578703,2,2.305437
-111.57624,9,2.323358
-94.601425,9,2.323376
-12.3931875,1,2.33148
-103.46319,10,2.345378
-7.984813,1,2.353851
-21.096523,1,2.363054
-82.723015,9,2.376727
-118.782555,8,2.376743
-7.878893,1,2.386149
-10.770726,1,2.394013
-163.89845,16,2.401844
-49.008183,5,2.420212
-79.835434,7,2.43413
-7.4345465,1,2.44237
-177.00426,15,2.451124
-7.6138086,1,2.459382
-140.13712,13,2.459406
-19.594645,1,2.467811
-51.760643,4,2.484833
-9.13154,1,2.492511
-138.0824,11,2.509627
-104.146835,9,2.518765
-8.825528,1,2.518778
-51.253338,5,2.518784
-169.75507,16,2.518789
-8.270249,1,2.527323
-33.85489,3,2.538336
-34.450928,3,2.547123
-8.983295,1,2.556314
-64.49269,6,2.565035
-31.767025,3,2.565053
-8.489502,1,2.573334
-47.055386,6,2.591069
-7.6924853,1,2.600601
-130.78705,13,2.608995
-13.417118,1,2.6175
-18.405651,2,2.617511
-120.323616,9,2.626365
-12.533838,1,2.626378
-31.312298,2,2.637465
-7.0829296,1,2.645491
-117.06568,12,2.654753
-6.7139792,1,2.654775
-11.290273,1,2.664402
-20.711527,2,2.67963
-72.0956,7,2.679662
-92.586845,7,2.688892
-8.33163,1,2.68891
-9.126217,1,2.697742
-23.202496,2,2.713011
-11.865847,1,2.721865
-97.31612,8,2.735686
-24.677336,3,2.735699
-16.895384,2,2.748988
-116.48145,11,2.761686
-21.698904,2,2.772136
-6.803479,1,2.780936
-230.5626,20,2.802781
-117.42572,11,2.802799
-7.411796,1,2.811391
-8.401277,1,2.811406
-83.38793,9,2.828119
-8.187341,1,2.835707
-8.764678,1,2.8447
-78.97138,7,2.85185
-167.29669,18,2.862035
-11.271647,1,2.862061
-10.667752,1,2.87098
-8.128795,1,2.883959
-146.29659,13,2.899308
-11.491522,1,2.907351
-12.986083,1,2.914957
-92.17319,8,2.922689
-75.07365,8,2.934015
-7.247101,1,2.942825
-8.92362,1,2.950838
-76.194824,6,2.978685
-129.34435,12,2.987222
-8.402143,1,2.987241
-8.13726,1,2.99664
-6.502625,1,3.005599
-285.14587,24,3.01372
-147.64119,15,3.021598
-15.504382,1,3.021636
-7.8545847,1,3.030395
-58.791615,5,3.050247
-135.1543,10,3.059249
