#{"t_start": 1770573625.21714, "env_id": "None"}
r,l,t
-128.94398,13,3.081099
-51.60195,6,3.08112
-61.786728,6,3.089639
-24.151184,2,3.097427
-141.6358,15,3.112899
-38.77123,3,3.112918
-48.43718,5,3.133255
-13.73792,1,3.141661
-130.81711,11,3.141672
-7.371463,1,3.149434
-109.39882,8,3.157767
-11.499391,1,3.157777
-9.812993,1,3.165671
-39.398537,3,3.165683
-8.020051,1,3.16569
-8.074708,1,3.173344
-7.6742296,1,3.182503
-19.16241,2,3.182514
-8.995507,1,3.190954
-21.621155,2,3.206283
-14.015361,1,3.229315
-62.199356,6,3.241225
-21.451683,1,3.252392
-48.82464,4,3.25243
-332.86374,25,3.275081
-42.948364,5,3.275105
-100.82065,7,3.275112
-56.347378,5,3.275117
-9.143796,1,3.284553
-42.306606,5,3.303365
-36.740395,4,3.319254
-13.494069,1,3.327815
-133.59576,13,3.341925
-176.11456,13,3.341945
-9.077387,1,3.350763
-74.43521,6,3.36206
-236.03473,20,3.38254
-72.5615,7,3.393297
-158.67307,11,3.401472
-9.240799,1,3.40149
-13.424364,1,3.409745
-19.835314,1,3.40976
-118.89602,12,3.417429
-41.446983,4,3.432881
-8.047984,1,3.442339
-96.796486,7,3.454622
-8.937508,1,3.463462
-69.26166,7,3.463476
-37.214077,4,3.47222
-8.071432,1,3.472232
-8.103886,1,3.481333
-163.7559,14,3.481343
-56.18429,5,3.502702
-14.54663,2,3.515877
-117.157684,11,3.534142
-8.200546,1,3.541781
-8.411004,1,3.549425
-16.326506,2,3.562299
-235.38824,20,3.580713
-305.06802,23,3.594357
-7.158943,1,3.601943
-222.82594,16,3.61194
-10.212154,1,3.61197
-9.543476,1,3.620523
-35.646313,3,3.631794
-185.79427,12,3.640667
-8.270684,1,3.640697
-14.997732,1,3.650046
-71.95328,7,3.6665
-7.995172,1,3.675621
-151.35313,13,3.675653
-25.759575,2,3.686794
-74.86385,7,3.694948
-23.336666,2,3.70608
-90.7271,8,3.726027
-171.47705,17,3.736813
-7.7057986,1,3.744496
-14.774248,1,3.7525
-22.968304,1,3.760463
-100.384674,11,3.768451
-12.629724,1,3.776337
-30.998993,3,3.785064
-241.10504,18,3.785082
-107.172485,9,3.795794
-8.512956,1,3.795813
-14.022572,1,3.795821
-12.261095,1,3.805078
-8.708894,1,3.814201
-11.875912,1,3.822945
-52.7481,4,3.831087
-139.68098,10,3.849275
-52.414463,6,3.858502
-9.071742,1,3.858539
-13.763284,1,3.867491
-70.49844,6,3.867506
-14.553838,2,3.87856
-33.067535,4,3.901502
-78.31636,7,3.901538
-214.51195,17,3.913022
-8.697247,1,3.913042
-13.298696,1,3.922075
-94.58473,9,3.931025
-22.038233,2,3.931043
-14.734218,1,3.938962
-50.376766,5,3.947764
-9.0303955,1,3.956731
-10.549602,1,3.965309
-99.64849,10,3.986232
-131.24847,11,3.997501
-75.87815,7,3.997516
-18.465021,2,4.009364
-15.560535,2,4.020412
-68.87151,6,4.020427
-9.98235,1,4.028714
-7.9488225,1,4.028728
-8.22311,1,4.036809
-226.52548,19,4.051773
-56.64098,4,4.05988
-121.70195,11,4.068691
-7.8834815,1,4.077157
-9.678796,1,4.085024
-92.379135,7,4.100402
-15.508636,1,4.109425
-152.72346,13,4.118154
-13.95198,1,4.11817
-8.044925,1,4.126547
-95.97179,9,4.126562
-8.28866,1,4.134006
-34.847286,3,4.145643
-84.024376,7,4.161028
-72.961815,6,4.169236
-8.413514,1,4.169248
-84.81979,9,4.190151
-232.63792,19,4.198239
-58.335278,6,4.198254
-16.2407,1,4.206395
-14.286885,1,4.206412
-26.305058,3,4.221425
-12.578405,1,4.22897
-144.58537,14,4.242834
-88.74764,9,4.24285
-108.04387,11,4.260593
-47.854683,5,4.268967
-8.282174,1,4.268982
-88.742226,8,4.268989
-8.553884,1,4.277295
-135.6338,12,4.299906
-78.16508,7,4.299918
-47.61116,6,4.299924
-12.277921,1,4.307768
-124.382675,9,4.315909
-26.603632,2,4.315922
-12.781355,1,4.323223
-25.97648,2,4.33123
-13.2631,1,4.331244
-7.852912,1,4.339511
-67.21465,6,4.348455
-73.203094,8,4.362836
-83.84361,8,4.381439
-147.82571,14,4.397365
-7.717076,1,4.405674
-166.95221,15,4.413429
-6.7328563,1,4.42264
-170.54524,13,4.430259
-18.29734,2,4.439215
-73.70214,8,4.458224
-7.450241,1,4.467021
-19.054281,2,4.477993
-117.109055,10,4.491952
-17.27771,1,4.500018
-245.70139,22,4.511921
-34.451904,3,4.52779
-6.901822,1,4.535656
-214.72397,19,4.544164
-10.616864,1,4.552578
-122.5301,12,4.55259
-36.51508,3,4.567633
-47.676563,6,4.576094
-157.60158,12,4.576108
-12.047479,1,4.583874
-21.312237,2,4.594516
-75.2844,7,4.609965
-9.072504,1,4.618345
-47.441113,4,4.618356
-95.485374,10,4.632369
-32.36963,3,4.632379
-57.628235,4,4.647919
-7.255943,1,4.655912
-227.36226,23,4.672497
-7.850952,1,4.680376
-91.90352,7,4.691586
-21.22967,1,4.700509
-14.29222,1,4.708868
-245.11743,20,4.721675
-123.76888,8,4.72986
-61.801323,5,4.751333
-108.737404,9,4.75135
-8.671126,1,4.759821
-72.73038,7,4.759836
-294.2535,25,4.767958
-13.255911,1,4.767969
-14.606546,1,4.776474
-58.17587,6,4.795474
-93.25976,8,4.802978
-102.889305,9,4.802989
-8.064259,1,4.811332
-7.23285,1,4.811347
-14.705688,1,4.819304
-8.785246,1,4.819315
-40.61396,4,4.828243
-7.984555,1,4.836265
-9.14883,1,4.844695
-119.923965,11,4.84471
-36.291004,4,4.85305
-66.18026,6,4.874581
-15.848078,1,4.882422
-112.68775,7,4.882431
-8.085013,1,4.890841
-12.177741,1,4.899134
-137.74132,13,4.906588
-12.257039,1,4.914952
-32.39945,3,4.922901
-118.24543,14,4.956927
-93.425026,10,4.964803
-7.747345,1,4.972936
-7.820899,1,4.98122
-8.732239,1,4.989481
-162.49493,14,4.989493
-9.227644,1,4.998112
-81.07482,7,5.011141
-280.65344,27,5.011154
-9.904597,1,5.019139
-43.187977,5,5.037745
-135.09305,10,5.045855
-38.118523,3,5.058833
-156.98018,13,5.066169
-7.6125703,1,5.074349
-61.791412,7,5.081928
-12.749508,1,5.089447
-175.42464,15,5.09809
-12.797212,1,5.098102
-7.653501,1,5.10649
-20.664618,2,5.114634
-79.72096,7,5.126636
-92.35159,9,5.126649
-54.711998,4,5.138188
-35.317932,3,5.146248
-42.923016,3,5.156687
-92.51597,8,5.170904
-171.01474,12,5.179792
-8.2517185,1,5.187012
-8.749934,1,5.194837
-113.18466,10,5.205883
-12.085484,1,5.213784
-8.723029,1,5.222587
-11.204831,1,5.231136
-11.214929,1,5.239031
-125.05815,11,5.250745
-35.84102,4,5.269948
-200.33128,14,5.280525
-20.190556,2,5.28054
-11.483852,1,5.288246
-13.117287,1,5.288256
-7.665589,1,5.296498
-8.25832,1,5.296507
-8.141376,1,5.305007
-274.18872,24,5.313657
-9.206032,1,5.313668
-11.718126,1,5.322724
-136.7844,13,5.322738
-12.3365345,1,5.33132
-9.422415,1,5.331332
-9.036705,1,5.339197
-33.12004,4,5.357939
-51.24488,5,5.357952
-11.302867,1,5.366128
-8.907844,1,5.366142
-90.47179,8,5.395068
-223.25464,16,5.39508
-20.357119,2,5.405096
-249.57695,20,5.40511
-11.654157,1,5.412494
-66.80787,6,5.426119
-178.69542,14,5.426133
-12.727815,1,5.433321
-25.768986,2,5.443703
-59.703804,4,5.451107
-43.712128,5,5.473296
-60.01927,6,5.473307
-7.748913,1,5.481169
-176.52496,14,5.489867
-7.177022,1,5.497311
-208.38278,17,5.505441
-8.826717,1,5.505453
-8.262294,1,5.514509
-81.20271,5,5.531616
-16.690332,1,5.540527
-115.43782,10,5.54801
-140.26804,12,5.556551
-10.029252,1,5.56519
-102.73912,10,5.577394
-45.109825,4,5.577409
-63.37961,7,5.589012
-52.14509,5,5.610245
-99.21524,10,5.61889
-131.3161,10,5.629028
-8.319815,1,5.636644
-14.717057,1,5.645208
-7.8523707,1,5.653492
-120.28272,13,5.653502
-168.98929,13,5.679943
-88.1408,7,5.67997
-12.095949,1,5.687415
-16.670105,1,5.687428
-8.2353945,1,5.695491
-7.7619567,1,5.695505
-209.13353,15,5.703681
-7.6679983,1,5.703692
-8.230088,1,5.711333
-10.676238,1,5.711342
-136.93724,14,5.725903
-25.399654,3,5.725913
-12.297193,1,5.734081
-41.489643,4,5.747235
-118.33306,10,5.755208
-8.62484,1,5.763478
-62.816807,3,5.771095
-56.34242,7,5.779043
-7.577399,1,5.787381
-62.68649,6,5.810933
-223.28024,20,5.826506
-96.91961,10,5.826521
-119.639366,11,5.826528
-17.390894,1,5.833748
-21.338364,2,5.841964
-13.721084,1,5.84998
-73.597984,6,5.858768
-13.283412,1,5.858779
-17.18802,1,5.867223
-8.63968,1,5.867235
-7.45981,1,5.875681
-64.43686,6,5.884481
-15.27716,2,5.892756
-14.348121,1,5.892768
-37.368008,4,5.900916
-13.204243,1,5.900931
-21.126259,2,5.908404
-146.3598,11,5.916331
-27.415936,3,5.924958
-9.134439,1,5.924971
-30.349072,3,5.939504
-28.175386,3,5.952541
-88.14607,8,5.965261
-6.5911517,1,5.972842
-13.02495,1,5.980586
-13.706163,1,5.989227
-135.49466,14,5.98924
-87.56738,7,6.000225
-220.64801,18,6.015044
-9.072932,1,6.023543
-13.591727,1,6.031182
-11.382827,1,6.039145
-12.971861,1,6.046825
-105.13581,8,6.055207
-49.727077,3,6.067233
-12.687034,1,6.076499
-159.8533,14,6.085778
-14.024041,1,6.094129
-11.971072,1,6.1024
-107.814514,9,6.117615
-8.510037,1,6.126064
-267.93698,20,6.126077
-67.22029,6,6.136977
-62.524055,6,6.155138
-8.280805,1,6.16377
-162.39716,15,6.172252
-133.99489,11,6.186642
-48.69418,5,6.195707
-40.46038,4,6.195722
-8.765676,1,6.195729
-7.6101565,1,6.203666
-8.133072,1,6.212193
-24.691648,3,6.220981
-9.578955,1,6.220992
-189.09247,15,6.232165
-9.747916,1,6.240525
-84.94341,7,6.249583
-9.952867,1,6.249596
-7.1296153,1,6.259131
-58.0397,6,6.268389
-12.036468,1,6.268404
-13.715416,1,6.277059
-60.22535,6,6.298144
-10.4951725,1,6.306922
-78.095345,6,6.306938
-7.6589584,1,6.315053
-198.3303,16,6.326001
-49.46604,5,6.340659
-90.44485,7,6.348879
-188.86919,18,6.360389
-114.315414,9,6.37329
-13.347211,1,6.380863
-117.20192,9,6.39603
-9.091169,1,6.404695
-7.9736443,1,6.413201
-138.3365,12,6.413217
-76.44734,8,6.427259
-130.80922,12,6.427272
-83.56502,7,6.44405
-22.41288,2,6.454893
-11.339132,1,6.463087
-70.619934,7,6.463099
-8.597108,1,6.470601
-22.501297,1,6.478606
-84.700615,9,6.47862
-8.809625,1,6.4868
-17.826372,2,6.498623
-206.68352,16,6.506933
-13.324629,1,6.506953
-22.923283,3,6.521597
-9.497099,1,6.529366
-9.036736,1,6.537395
-7.9491944,1,6.546218
-9.666621,1,6.554751
-146.05873,13,6.554761
-10.777864,1,6.56335
-8.684122,1,6.57226
-158.22462,14,6.580347
-26.786448,3,6.594668
-7.2726507,1,6.602905
-117.27057,11,6.619183
-213.18587,20,6.630182
-132.265,12,6.652673
-13.948046,1,6.660281
-257.92014,22,6.67549
-13.835848,1,6.683107
-177.95287,16,6.699061
-99.73792,9,6.699072
-16.468904,2,6.709816
-8.5823145,1,6.718135
-58.672092,6,6.73122
-100.02472,11,6.739238
-8.715467,1,6.739252
-60.552963,4,6.739258
-11.866314,1,6.747511
-369.64056,26,6.747522
-13.095885,1,6.756307
-63.3402,7,6.776659
-7.042758,1,6.785767
-7.5779123,1,6.794552
-35.48214,2,6.807552
-11.955536,1,6.816491
-143.1788,14,6.831303
-142.18678,13,6.831327
-47.270653,5,6.842682
-8.026575,1,6.851379
-266.0288,20,6.861628
-87.511635,10,6.880826
-73.497215,7,6.88084
-89.3501,9,6.896573
-46.700165,5,6.904507
-13.565056,1,6.912605
-154.54251,16,6.912616
-115.56368,10,6.931133
-51.642242,4,6.931148
-57.73756,5,6.94004
-8.472445,1,6.940051
-7.4272532,1,6.940056
-13.955253,1,6.950142
-22.099716,1,6.950155
-8.33194,1,6.957695
-13.408796,1,6.957708
-8.753553,1,6.965785
-110.2064,10,6.965798
-7.2209535,1,6.973076
-9.544132,1,6.982571
-43.74884,5,6.982582
-12.829187,1,6.991486
-8.49911,1,6.991499
-97.02135,10,7.019735
-111.006,12,7.027678
-11.231059,1,7.027693
-8.821175,1,7.035602
-99.97426,10,7.043353
-33.916306,4,7.05546
-90.30273,6,7.064198
-17.898073,1,7.064218
-144.13885,15,7.071995
-41.40065,4,7.08543
-7.833364,1,7.093779
-108.10741,10,7.102194
-16.522001,2,7.110791
-87.800125,9,7.121426
-20.288383,2,7.121441
-14.896115,1,7.129905
-101.4612,10,7.162095
-233.82654,14,7.16211
-7.445856,1,7.170048
-226.85184,22,7.180421
-17.07513,2,7.180435
-9.067642,1,7.18834
-174.3379,16,7.196298
-9.028885,1,7.204077
-65.325516,6,7.218153
-95.321884,10,7.225366
-7.462863,1,7.232821
-9.202197,1,7.240655
-88.8604,9,7.253811
-69.914154,6,7.267409
-96.35473,9,7.267421
-13.192281,1,7.275624
-212.7751,17,7.285691
-7.8120513,1,7.293386
-11.486815,1,7.30122
-56.061317,5,7.301231
-8.05808,1,7.309742
-107.76016,9,7.309751
-78.29808,6,7.317785
-14.417295,1,7.317795
-8.522348,1,7.32613
-123.570175,10,7.353675
-9.008979,1,7.360963
-73.65176,8,7.386436
-253.51703,20,7.396909
-215.91872,20,7.405442
-13.099246,1,7.41296
-267.9135,22,7.423379
-68.620415,6,7.434225
-7.348694,1,7.443256
-20.858162,2,7.454699
-17.052254,2,7.465592
-81.557945,7,7.465605
-9.476128,1,7.473304
-242.97958,19,7.49419
-55.835052,5,7.4942
-67.2826,7,7.502588
-7.4117017,1,7.502598
-17.340458,1,7.510119
-17.881678,1,7.518223
-9.185203,1,7.527919
-184.19197,19,7.527935
-7.877591,1,7.537074
-51.399193,4,7.537085
-12.389289,1,7.545943
-8.514345,1,7.545957
-8.918288,1,7.554248
-12.406345,1,7.562149
-140.73677,13,7.584139
-12.82749,1,7.59162
-7.494602,1,7.599251
-71.96146,6,7.619692
-7.514124,1,7.627189
-9.2410345,1,7.634928
-239.50156,21,7.646096
-152.72884,17,7.646109
-224.68423,19,7.646116
-13.128476,1,7.653696
-7.2209163,1,7.653706
-14.920579,1,7.662649
-36.192238,4,7.662658
-13.794119,1,7.662663
-8.523655,1,7.671492
-13.934118,1,7.671504
-18.301426,1,7.679872
-15.690293,1,7.688199
-131.61618,10,7.708754
-195.81636,13,7.72954
-138.47942,11,7.729553
-70.34608,6,7.750488
-8.719149,1,7.759595
-185.88722,17,7.776476
-68.6112,5,7.784854
-191.41953,17,7.803112
-13.054549,1,7.81169
-340.36865,33,7.81991
-7.249399,1,7.819923
-8.146354,1,7.827931
-7.3385377,1,7.836018
-120.60328,11,7.84743
-165.50766,13,7.855812
-14.33563,1,7.855821
-59.92782,6,7.864206
-12.953455,1,7.864215
-7.5917497,1,7.864221
-11.236981,1,7.872201
-7.91099,1,7.872213
-14.820492,1,7.872219
-60.69123,7,7.884338
-44.99573,3,7.893106
-21.22136,2,7.902167
-44.91469,6,7.912921
-31.394434,2,7.912937
-8.156649,1,7.921395
-49.375164,5,7.930186
-113.87801,11,7.944672
-114.44084,9,7.960785
-7.657058,1,7.968516
-135.71356,11,7.979696
-102.11339,10,7.979707
-104.637985,9,7.990226
-10.052381,1,7.999076
-119.07838,10,8.028017
-88.04615,9,8.040583
-36.082226,3,8.048819
-8.174526,1,8.057393
-39.03012,4,8.069264
-9.439001,1,8.078072
-241.10468,18,8.087068
-216.44456,20,8.087085
-8.016682,1,8.095819
-24.808538,2,8.107229
-111.01083,9,8.118265
-47.70685,4,8.128974
-147.7989,11,8.142206
-8.699344,1,8.151316
-102.48982,10,8.166676
-204.21066,18,8.179317
-94.303246,10,8.191736
-13.776685,1,8.199529
-145.00502,15,8.199543
-84.29727,8,8.208118
-105.20339,9,8.226026
-15.644787,1,8.233798
-70.38401,6,8.233809
-34.3314,3,8.247677
-11.085445,1,8.256118
-54.218746,5,8.264897
-7.6825833,1,8.264909
-112.81049,11,8.273453
-9.151024,1,8.273465
-8.049569,1,8.282649
-8.29004,1,8.291607
-23.09081,2,8.302953
-7.6718416,1,8.31122
-16.572979,1,8.319607
-221.87622,18,8.319616
-146.55806,13,8.342804
-92.821396,8,8.353953
-197.0561,16,8.364452
-14.265976,2,8.37556
-26.896517,3,8.390621
-98.06843,10,8.400503
-9.082517,1,8.400525
-215.74823,17,8.4081
-9.267784,1,8.408115
-13.472922,1,8.415651
-17.257017,1,8.422989
-59.458206,4,8.440579
-9.095688,1,8.44821
-96.417465,8,8.456833
-6.9976974,1,8.45685
-8.96693,1,8.46549
-8.915871,1,8.465502
-196.63379,19,8.473949
-8.665259,1,8.481799
-31.546,3,8.490465
-165.49814,13,8.490481
-16.912191,1,8.499333
-7.8830533,1,8.499346
-112.43197,10,8.524636
-89.680954,7,8.532141
-144.98936,10,8.540526
-8.707878,1,8.540541
-177.63696,15,8.565982
-78.815025,8,8.573995
-35.14857,3,8.584548
-8.596684,1,8.593991
-148.45544,14,8.602576
-16.436073,1,8.60259
-135.88052,13,8.611456
-73.173164,7,8.634024
-20.303328,2,8.645442
-8.07019,1,8.653861
-149.02495,12,8.665486
-164.43681,13,8.67805
-139.43867,10,8.703835
-260.99326,25,8.712028
-13.993683,1,8.71204
-173.77452,14,8.730316
-39.902676,5,8.73033
-9.765415,1,8.738399
-7.371114,1,8.747019
-8.000363,1,8.754397
-46.35051,4,8.762923
-18.6511,2,8.771482
-14.631527,1,8.780097
-23.93082,3,8.788346
-9.151391,1,8.788356
-9.64304,1,8.796937
-8.181026,1,8.796949
-146.54256,15,8.80879
-284.5198,25,8.823747
-8.149381,1,8.831864
-90.58894,9,8.846003
-77.1418,7,8.846016
-80.87519,9,8.846023
-107.37455,11,8.872703
-104.17393,9,8.881045
-109.22393,10,8.889595
-14.881148,1,8.898504
-111.78394,9,8.926397
-211.14226,20,8.937883
-12.039363,1,8.946102
-199.48514,14,8.955411
-37.386005,4,8.95544
-8.859241,1,8.955446
-8.752712,1,8.964347
-27.745338,3,8.977748
-184.81607,16,8.990734
-64.288925,6,8.999412
-19.653406,1,9.009355
-16.872377,2,9.022261
-7.046929,1,9.030252
-8.076203,1,9.038801
-98.31543,10,9.056919
-120.86702,13,9.065968
-12.410245,1,9.065985
-217.57835,19,9.083177
-12.454457,1,9.090892
-133.47476,12,9.10214
-16.671751,2,9.102153
-96.29034,8,9.11182
-85.77082,8,9.111834
-26.155066,3,9.126981
-208.60963,15,9.164767
-15.25186,1,9.172476
-16.69288,1,9.179869
-244.08499,19,9.187144
-21.018509,2,9.198553
-190.02469,18,9.206973
-242.14937,23,9.215916
-8.400687,1,9.215932
-14.34206,1,9.225144
-12.549366,1,9.233832
-64.34684,7,9.233847
-73.637634,8,9.252173
-53.784252,6,9.262733
-28.220037,2,9.273732
-127.00549,11,9.282313
-111.76011,11,9.293928
-61.99909,5,9.305143
-101.75998,10,9.313478
-8.079045,1,9.313496
-7.692699,1,9.322955
-97.0629,8,9.341424
-47.822735,5,9.341444
-13.226941,1,9.349943
-15.095009,1,9.357395
-233.14743,20,9.3868
-153.5087,15,9.394653
-14.615499,1,9.394669
-14.180894,1,9.40213
-135.71532,13,9.410185
-127.9655,12,9.418725
-8.378454,1,9.427104
-9.020232,1,9.435778
-39.17883,4,9.444011
-78.59402,9,9.458807
-16.210754,1,9.466392
-27.966295,2,9.477673
-170.35442,13,9.489172
-26.414518,2,9.489184
